name,geo_location_lat,geo_location_lng,address,rating,type_of_the_attraction,place_id,local_phone_number,website,url
Clipa Theater,32.0615815,34.780767,"HaRakevet St 38, Tel Aviv-Yafo, 6777006, Israel",4.5,"[point_of_interest, establishment]",ChIJF2gSSXtLHRURGUo5eqPuASg,03-639-9090,http://www.clipa.co.il/,https://maps.google.com/?cid=2882847622391482905
Suzanne Dellal Center for Dance and Theater,32.0607159,34.7642438,"Yehieli St 5, Tel Aviv-Yafo, 6514946, Israel",4.5,"[point_of_interest, establishment]",ChIJGyCu65lMHRURSSIE2mkNGug,03-510-5656,http://www.suzannedellal.org.il/,https://maps.google.com/?cid=16724694914474189385
Hasimta Theater,32.053323,34.751476,"Mazal Dagim St 8, Tel Aviv-Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJ227Se8dMHRUR9qYlekbF8bM,03-681-2126,http://www.hasimta.com/,https://maps.google.com/?cid=12966361708664039158
Tel Aviv Performing Arts Center,32.0766309,34.785184,"Sderot Sha'ul HaMelech 19, Tel Aviv-Yafo, Israel",4.5,"[point_of_interest, establishment]",ChIJF8dPS5tLHRURfw7nDQNZpIo,03-692-7777,http://www.israel-opera.co.il/,https://maps.google.com/?cid=9990207743067623039
Notsr Theater,32.00431,34.744359,"Bat Yam, Israel",4,"[point_of_interest, establishment]",ChIJmS1atwmzAhURjik16b1lZJU,03-635-0772,http://www.notzar.co.il/,https://maps.google.com/?cid=10764840875658127758
Bascula - Urban Circus,32.0597262,34.7828332,"HaRakevet St 72, Tel Aviv-Yafo, 6777023, Israel",4.3,"[point_of_interest, establishment]",ChIJx0PzJGVLHRURe47smdtwDxs,077-541-6529,http://www.bascula.co.il/,https://maps.google.com/?cid=1949901252157279867
Yahalom Theatre,32.0848494,34.8025203,"בית ש.א.פ, היצירה 3, רמת גן, 5252141, Israel",4.1,"[point_of_interest, establishment]",ChIJ37RaW8dLHRUR3o3Eb8F3Abk,03-612-1050,https://www.ramat-gan.muni.il/theater/yalom/,https://maps.google.com/?cid=13331068044680924638
Givatayim Theatre,32.067188,34.804237,"David Remez St 40, Giv'atayim, Israel",4.2,"[point_of_interest, establishment]",ChIJP5_iWKZLHRUR3LgCnGhXkWc,03-732-5340,http://www.t-g.co.il/,https://maps.google.com/?cid=7462842164335261916
מקסימונות יוצאת למשימה,32.110288,34.817639,"Hadar Yosef St 4, Tel Aviv-Yafo, Israel",0,"[point_of_interest, establishment]",ChIJ9UfD6BpJHRURJGDjjVsJc1M,052-841-6400,https://www.facebook.com/maximonet.smile/,https://maps.google.com/?cid=6013160216296906788
مسرح هحيدير,32.0682449,34.7735847,"Yosef ha-Nasi St 5, Tel Aviv-Yafo, Israel",4,"[point_of_interest, establishment]",ChIJCZ29cIZMHRUR-nfF42foMME,03-517-1818,http://www.roomtheater.co.il/,https://maps.google.com/?cid=13920881981102847994
Tel Aviv Museum of Art,32.0776555,34.786749,"מתחם גולדה מאיר, שדרות שאול המלך 27, תל אביב יפו, Israel",4.5,"[museum, point_of_interest, establishment]",ChIJpz9FAptLHRURE7h6eDCkS_c,03-607-7020,http://www.tamuseum.org.il/he/default.aspx,https://maps.google.com/?cid=17819516878708193299
Eretz Israel Museum,32.103107,34.796142,"Chaim Levanon St 2, Tel Aviv-Yafo, Israel",4.3,"[museum, point_of_interest, establishment]",ChIJ0X2q6uBLHRURndij5PvfBA8,03-641-5244,http://www.eretzmuseum.org.il/,https://maps.google.com/?cid=1082236083441490077
Israel Defense Forces History Museum,32.0597891,34.7624643,"פרופסור יחזקאל קויפמן פינת המרד, Tel Aviv-Yafo, Israel",4.4,"[museum, point_of_interest, establishment]",ChIJq-poK5hMHRURx-wSyfDe3xg,03-517-2913,http://www.mod.gov.il/Memorial_Legacy/museums/Pages/osef.aspx,https://maps.google.com/?cid=1792396302463724743
Rubin Museum,32.0720627,34.7707281,"Bialik St 14, Tel Aviv-Yafo, Israel",4.4,"[museum, point_of_interest, establishment]",ChIJu61h4oBMHRURQaCPbc722_4,03-525-5961,http://www.rubinmuseum.org.il/,https://maps.google.com/?cid=18364543271995154497
Museum of the Jewish People at Beit Hatfutsot,32.11383,34.8052563,"קלאוזנר 15 תל אביב יפו, Tel Aviv-Yafo, Israel",4.4,"[museum, point_of_interest, establishment]",ChIJWwWBiG9JHRURWwoTx2FDXKU,03-745-7800,http://www.bh.org.il/,https://maps.google.com/?cid=11915472801346292315
Lehi Museum,32.0566442,34.7695136,"Avraham Stern St 8, Tel Aviv-Yafo, Israel",4.4,"[museum, point_of_interest, establishment]",ChIJq2oBO59MHRURlHFHsNCcB3A,03-683-7582,http://www.mod.gov.il/Memorial_Legacy/museums/Pages/lechi.aspx,https://maps.google.com/?cid=8072593277209506196
Hagana Museum,32.0635425,34.7720833,"Rothschild Blvd 23, Tel Aviv-Yafo, Israel",4.3,"[museum, point_of_interest, establishment]",ChIJISVJJZ1MHRUR-fUKZl3jPjY,03-560-8624,http://www.mod.gov.il/Memorial_Legacy/museums/Pages/hahagana.aspx,https://maps.google.com/?cid=3908811516887627257
Design Museum Holon,32.011059,34.777607,"Pinkhas Eilon St 8, Holon, 5845400, Israel",4.4,"[museum, point_of_interest, establishment]",ChIJ95-VEp-0AhURph9ANc4DMsw,073-215-1515,http://www.dmh.org.il/,https://maps.google.com/?cid=14713827116764372902
Ben-Gurion House,32.0853549,34.7717058,"Sderot Ben Gurion 17, Tel Aviv-Yafo, Israel",4.4,"[museum, point_of_interest, establishment]",ChIJJe03mXdMHRURsKOpdeNjUp0,03-522-1010,http://www.bg-house.org/,https://maps.google.com/?cid=11336233040627737520
Jaffa Museum,32.0550525,34.7533228,"Mifrats Shlomo St 10, Tel Aviv-Yafo, Israel",4.2,"[museum, point_of_interest, establishment]",ChIJoY_HMr9MHRUR_jhpU2RWMoI,,,https://maps.google.com/?cid=9381655962662287614
Herzliya Museum of Contemporary Art,32.1622374,34.8441482,"HaBanim St 4, Herzliya, 4637904, Israel",4.3,"[museum, point_of_interest, establishment]",ChIJiVeTkw1IHRURoTHQjFW8OSA,09-955-1011,http://www.herzliyamuseum.co.il/,https://maps.google.com/?cid=2322094158506897825
Ilana Goor Museum,32.0533624,34.75146489999999,"Mazal Dagim St 4, Tel Aviv-Yafo, Israel",4.6,"[museum, point_of_interest, establishment]",ChIJC_wSesdMHRURvHqdU7gJ5qw,03-683-7676,https://www.ilanagoormuseum.org/en/,https://maps.google.com/?cid=12458656106448517820
Herzlilienblum Museum,32.06206340000001,34.7703715,"Herzl St 13, Tel Aviv-Yafo, Israel",4.3,"[museum, point_of_interest, establishment]",ChIJ6xAi9pxMHRURwdN9bPXI9zU,1-700-558-000,https://www.discountbank.co.il/DB/private/discount-group/herzelilinblum-museum/about?tab=1,https://maps.google.com/?cid=3888797759670440897
‎Whiskey Bar & Museum,32.0710338,34.7882859,"מתחם שרונה, רב אלוף דוד אלעזר 27, תל אביב יפו, Israel",4.5,"[bar, museum, restaurant, point_of_interest, food, establishment]",ChIJszz8qJ1LHRURe5AOmZpRmyw,03-955-1105,http://whiskeybm.co.il/,https://maps.google.com/?cid=3214252483493662843
Palmach Museum,32.104537,34.7991338,"בית הפלמ""ח, חיים לבנון 10, תל אביב יפו, Israel",4.5,"[museum, point_of_interest, establishment]",ChIJ52yKnd9LHRURqutciiqXsGU,03-545-9800,http://www.palmach.org.il/,https://maps.google.com/?cid=7327522802697563050
Gutman Museum,32.0609449,34.7665492,"Shim'on Rokah St 21, Tel Aviv-Yafo, Israel",4.2,"[museum, point_of_interest, establishment]",ChIJIfpI2JtMHRURB2H9q80OmS8,03-516-1970,http://www.gutmanmuseum.co.il/,https://maps.google.com/?cid=3429788867735937287
MoBY,32.020646,34.7561316,"Struma St 6, Bat Yam, 5951509, Israel",4.3,"[museum, point_of_interest, establishment]",ChIJQegTl0GzAhUR4Iayw-Dh0Sk,03-659-1140,http://www.moby.org.il/,https://maps.google.com/?cid=3013437981159753440
Israel Children's Museum,32.003273,34.797983,"Mifrats Shlomo St 66, Holon, Israel",4.5,"[museum, point_of_interest, establishment]",ChIJFTgtO5S0AhURMkfCaaOkgEo,03-650-3000,https://www.childrensmuseum.org.il/,https://maps.google.com/?cid=5368471777586595634
Eyewear Museum,32.072434,34.7870797,"Aluf Albert Mendler St 8, Tel Aviv-Yafo, Israel",3.8,"[museum, store, point_of_interest, establishment]",ChIJgf6O75xLHRURF-si39JHYzw,03-653-9470,http://opticana-museum.co.il/,https://maps.google.com/?cid=4351400635982342935
Beit Ha'ir,32.0733997,34.7709936,"Bialik St 27, Tel Aviv-Yafo, Israel",4.5,"[museum, point_of_interest, establishment]",ChIJM4t1jIBMHRUR7dmJ4AuqpfY,03-724-0311,http://beithair.org/,https://maps.google.com/?cid=17772798472476023277
Kalderon,32.0246533,34.7397691,"Derech Ben Gurion, Bat Yam, Israel",4.5,"[restaurant, point_of_interest, food, establishment]",ChIJyT5ToyKzAhUR69nsrsnYMcU,03-506-6866,,https://maps.google.com/?cid=14209376660065409515
Prozdor,32.079145,34.7685716,"Mendele Mokher Sfarim St 6, Tel Aviv-Yafo, Israel",4.6,"[restaurant, point_of_interest, food, establishment]",ChIJ8aFWp35MHRURl3ziMsJxm8A,03-523-3223,http://prozdor.co.il/,https://maps.google.com/?cid=13878811755563613335
Shmuel,32.0687653,34.7689042,"Carmel Market, רבי מאיר 42, תל אביב יפו, Israel",4.7,"[restaurant, point_of_interest, food, establishment]",ChIJi6xr84NMHRURL99I_lU0Cdc,03-631-1650,https://www.facebook.com/shmuel.carmelmarket,https://maps.google.com/?cid=15494973536887955247
Moon,32.0756388,34.7719764,"Bograshov St 58, Tel Aviv-Yafo, Israel",4.5,"[restaurant, point_of_interest, food, establishment]",ChIJ0beHun9MHRURfDSJZE-1RJA,03-629-1155,http://www.moon-sushi.co.il/,https://maps.google.com/?cid=10395633192471704700
Thai House Restaurant,32.0775921,34.7682231,"Bograshov St 8, Tel Aviv-Yafo, Israel",4.5,"[restaurant, point_of_interest, food, establishment]",ChIJP841K3xMHRURebdaloB-MZA,03-517-8568,http://www.thai-house.co.il/,https://maps.google.com/?cid=10390224906063886201
Hotel Montefiore - הוטל מונטיפיורי,32.0655524,34.7734381,"Montefiore St 36, Tel Aviv-Yafo, Israel",4.6,"[lodging, restaurant, point_of_interest, food, establishment]",ChIJk64uwKy7HRURBYwNa93Y6tg,03-564-6100,http://www.hotelmontefiore.co.il/,https://maps.google.com/?cid=15630543902238149637
Rustico Restaurant,32.0632464,34.7709376,"Rothschild Blvd 15, Tel Aviv-Yafo, Israel",4.5,"[restaurant, point_of_interest, food, establishment]",ChIJq9Pf3ZxMHRURs_cAkicRJUQ,03-510-0039,http://rustico.co.il/rothschild/,https://maps.google.com/?cid=4910349830368327603
Shukshuka,32.0677125,34.767623,"HaCarmel St 41, Tel Aviv-Yafo, Israel",4.7,"[restaurant, point_of_interest, food, establishment]",ChIJ0-tqiYRMHRURMzvky1iGQSU,,,https://maps.google.com/?cid=2684574568825502515
Hudson Brasserie,32.10980500000001,34.840232,"HaBarzel St 27, Tel Aviv-Yafo, Israel",4.6,"[restaurant, bar, point_of_interest, food, establishment]",ChIJp6tiLOtJHRURBfOF2iHOCeQ,03-644-4733,http://www.hudson.co.il/,https://maps.google.com/?cid=16431891360233419525
Vicky Cristina,32.0584547,34.7617025,"17ב, מתחם התחנה, תל אביב יפו, Israel",4.2,"[restaurant, bar, point_of_interest, food, establishment]",ChIJ1wZD1ZtMHRURkGFVDg6CljQ,03-736-7272,http://www.vicky-cristina.co.il/,https://maps.google.com/?cid=3789359133360480656
Taizu,32.0636338,34.7800361,"Derech Menachem Begin 23, Tel Aviv-Yafo, Israel",4.6,"[restaurant, point_of_interest, food, establishment]",ChIJa9zBe3tLHRURQHbcLSWNU1g,03-522-5005,http://www.taizu.co.il/,https://maps.google.com/?cid=6364585889227372096
Topolopompo Restaurant,32.0689399,34.7955119,"HaSolelim St 14, Tel Aviv-Yafo, Israel",4.5,"[restaurant, point_of_interest, food, establishment]",ChIJGZLYcJ9LHRURS--qQ-ANq6g,03-691-0691,http://topolopompo.co.il/,https://maps.google.com/?cid=12153823276248526667
Herzog,32.0773551,34.781509,"Shlomo Ibn Gabirol St 48, Tel Aviv-Yafo, Israel",4.5,"[restaurant, point_of_interest, food, establishment]",ChIJOaUQaYRLHRURapkbPWRW_7I,,,https://maps.google.com/?cid=12898122846334327146
Dallal Restaurant,32.0611268,34.7634915,"Shabazi St 10, Tel Aviv-Yafo, Israel",4.3,"[restaurant, point_of_interest, food, establishment]",ChIJIaam_JlMHRURmoGSrDoKiMQ,03-510-9292,http://www.dallal.co.il/,https://maps.google.com/?cid=14161580275386188186
Allora BG,32.0847747,34.7737757,"Sderot Ben Gurion 39, Tel Aviv-Yafo, Israel",4.2,"[restaurant, point_of_interest, food, establishment]",ChIJl6ZS53dMHRURokQ5RTIeNxg,03-566-5655,http://www.allora.co.il/,https://maps.google.com/?cid=1744896581887935650
Saint George's,32.0524741,34.7522042,"Louis Pasteur St 5, Tel Aviv-Yafo, Israel",4.4,"[restaurant, point_of_interest, food, establishment]",ChIJY1wEgcdMHRUR16OxQj4kJGE,03-649-1293,http://www.rol.co.il/sites/saint-george/,https://maps.google.com/?cid=6999759570666103767
Ali Caravan Restaurant,32.0502242,34.7508798,"Ha-Dolfin St 1, Tel Aviv-Yafo, Israel",4.6,"[restaurant, point_of_interest, food, establishment]",ChIJZ_6qDchMHRUR7qsGzypOnRI,03-682-0387,,https://maps.google.com/?cid=1341314209795189742
Milgo Milbar,32.07167940000001,34.779412,"Rothschild Blvd 142, Tel Aviv-Yafo, Israel",4.4,"[restaurant, point_of_interest, food, establishment]",ChIJoSYW_oFLHRUROTeWytMUISo,03-631-4214,http://www.milgomilbar.co.il/,https://maps.google.com/?cid=3035730523693922105
מזנון Miznon,32.0722304,34.7740944,"King George St 30, Tel Aviv-Yafo, Israel",4.3,"[restaurant, point_of_interest, food, establishment]",ChIJEaEeHoBMHRUR8YUwt-Xk300,03-508-1118,http://www.miznon.com/,https://maps.google.com/?cid=5611455335998981617
Fortuna Del Mar,32.0868715,34.7685609,"Inside MarinaTel Aviv-Yafo, yacht harbor, Tel Aviv-Yafo, Israel",4.1,"[restaurant, point_of_interest, food, establishment]",ChIJBaV0y3BMHRURWHK3aSRPoq4,03-523-6730,http://www.fortuna-delmar.co.il/,https://maps.google.com/?cid=12583707326637634136
GANT,32.1125024,34.7965153,"קניון רמת אביב, איינשטיין 40, תל אביב יפו, Israel",5,"[clothing_store, store, point_of_interest, establishment]",ChIJS5yhZ2dJHRURIUi054sLlzE,03-744-7211,http://www.gant.com/,https://maps.google.com/?cid=3573337524857489441
Stop!Shop,32.16198810000001,34.8092623,"Abba Eban Blvd 5, Herzliya, Israel",3.9,"[grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJEc1bzfJIHRURCDJH67VTJZA,,,https://maps.google.com/?cid=10386800156401414664
H&M,32.068548,34.78475299999999,"Ha-Khashmona'im Street 100 Tel Aviv Yafo IL 67133, HaHashmonaim St 100, Tel Aviv-Yafo, Israel",4.1,"[clothing_store, store, point_of_interest, establishment]",ChIJ9e5bLXhLHRURG2CAxUGtkXk,04-715-5777,http://www.hm.com/il,https://maps.google.com/?cid=8759973248210329627
H&M,32.0925082,34.8658906,"Ze'ev Jabotinsky Rd 72 Petah Tikva IL 49681, Ze'ev Jabotinsky St 72, Petah Tikva, Israel",4.2,"[clothing_store, store, point_of_interest, establishment]",ChIJXUbFDwM2HRURjSg_QRhWRlI,04-715-5777,http://www.hm.com/il,https://maps.google.com/?cid=5928520621653698701
H&M,32.1004583,34.8267596,"Abba Hillel Silver 301, Ramat Gan, Israel",3.5,"[clothing_store, store, point_of_interest, establishment]",ChIJv1Gr5OdJHRURObaWXzXXGlA,04-715-5777,http://www.hm.com/il,https://maps.google.com/?cid=5772162496665663033
Zadig & Voltaire Israel,32.087323,34.7911953,"Hei be-Iyar St 48, Tel Aviv-Yafo, Israel",4.6,"[store, point_of_interest, establishment]",ChIJbYBbbpNLHRUREWESfUOCMTs,03-546-8855,http://www.zadigetvoltaire.co.il/,https://maps.google.com/?cid=4265333548469346577
H&M,32.0930881,34.8322718,"Menachem Begin St 132, Tel Aviv-Yafo, 67021, Israel",3.9,"[clothing_store, store, point_of_interest, establishment]",ChIJ7xwgFJlLHRURwd0smKux9Qc,04-715-5777,http://www.hm.com/il,https://maps.google.com/?cid=573559878110207425
VANS Store Tel Aviv - Dizengoff,32.0753462,34.7753948,"Dizengoff Center, Dizengoff St 50, Tel Aviv-Yafo, 61999, Israel",0,"[clothing_store, store, point_of_interest, establishment]",ChIJ2Vql33hLHRURGul0MtJzwzg,03-915-5177,https://www.vans.com/,https://maps.google.com/?cid=4090240233209391386
VANS Store Tel Aviv - Old Port,32.0994515,34.7755485,"Shirak St 25, Tel Aviv-Yafo, 63508, Israel",0,"[clothing_store, store, point_of_interest, establishment]",ChIJpQBzDD9LHRURtJe5tgXhf8w,03-915-5178,https://www.vans.com/,https://maps.google.com/?cid=14735743920436254644
VANS Store Azrieli TLV,32.0743897,34.7921693,"Derech Menachem Begin 132, Tel Aviv-Yafo, 67011, Israel",4.4,"[clothing_store, store, point_of_interest, establishment]",ChIJM2KvRvZLHRURyiACs5UIeqQ,03-608-1199,https://www.vans.eu/,https://maps.google.com/?cid=11851794808425291978
VANS Store Ramat Gan,32.099957,34.827156,"Abba Hillel Silver Rd 301, Ramat Gan, 5259408, Israel",0,"[clothing_store, store, point_of_interest, establishment]",ChIJTXbPt6tJHRURD790dY2XXSU,08-916-6700,https://www.vans.com/,https://maps.google.com/?cid=2692474786054192911
Top Shop,32.0925799,34.8655637,"Ze'ev Jabotinsky St 72, Petah Tikva, Israel",4.3,"[clothing_store, store, point_of_interest, establishment]",ChIJb7yLBAM2HRURUfa3jCvzpJM,,http://www.topshop.com/,https://maps.google.com/?cid=10638895588125963857
Dead sea shops,32.0844457,34.7693495,"HaYarkon St 155, Tel Aviv-Yafo, Israel",4.2,"[store, point_of_interest, establishment]",ChIJ27Xi8XlMHRUROgWTHcnX1aI,03-524-6422,http://www.deadseashops.com/,https://maps.google.com/?cid=11733521662968268090
VANS Store Tel Aviv - Ramat,32.1122558,34.7959133,"Einstein St 40, Tel Aviv-Yafo, 6910203, Israel",0,"[clothing_store, store, point_of_interest, establishment]",ChIJidysbxxJHRURBc03rWu_aZA,03-909-6982,https://www.vans.com/,https://maps.google.com/?cid=10406058883204762885
Zara,32.0750514,34.7918812,"Derech Menachem Begin 132, Tel Aviv-Yafo, Israel",3.7,"[clothing_store, store, point_of_interest, establishment]",ChIJA1-dXplLHRURWxDAFtCBSWY,03-538-6325,http://www.zara.com/,https://maps.google.com/?cid=7370564995903393883
Diesel,32.1125164,34.79653589999999,"Einstein St 40, Tel Aviv-Yafo, Israel",5,"[clothing_store, store, point_of_interest, establishment]",ChIJI5SoZ2dJHRURTddYNGJMk6U,03-643-8390,http://www.diesel.com/,https://maps.google.com/?cid=11930963822503319373
VANS Store Petah Tikva,32.093468,34.866055,"Zabutinsky 72, Petah Tikva, Israel",0,"[clothing_store, store, point_of_interest, establishment]",ChIJP6C4OUM3HRURHKg8_TT4bdo,03-537-8573,https://www.vans.com/,https://maps.google.com/?cid=15739509179200350236
Timberland,32.0742006,34.7916203,"Derech Menachem Begin 132, Tel Aviv-Yafo, Israel",3.8,"[shoe_store, store, point_of_interest, establishment]",ChIJZ5O-aZlLHRURB7UFEUzXff0,03-609-5518,https://www.timberland.co.il/,https://maps.google.com/?cid=18265992385387672839
Crocs & More - קניון איילון,32.09962640000001,34.8270503,"Abba Hillel Silver St 301, Ramat Gan, Israel",3.4,"[shoe_store, store, point_of_interest, establishment]",ChIJ____XoZJHRURoAbMkGauwSk,03-621-3638,http://www.crocs.co.il/,https://maps.google.com/?cid=3008877781599389344
Foot Locker פוט לוקר,32.0980933,34.7740643,"נמל, תל אביב יפו, Israel",2.5,"[shoe_store, store, point_of_interest, establishment]",ChIJY_rXrgFNHRURrXmEYC2zjy8,03-942-6142,,https://maps.google.com/?cid=3427154848926431661
מונה טורס,32.0924783,34.8567703,"Ze'ev Jabotinsky St 100, Petah Tikva, Israel",1,"[travel_agency, point_of_interest, establishment]",ChIJURum__tJHRURV4FvP7yTHJ8,03-616-4600,,https://maps.google.com/?cid=11465201188105847127
NetoFun - נטופאן,32.0882719,34.8028387,"HaBonim St 8, Ramat Gan, 5252325, Israel",4.7,"[travel_agency, point_of_interest, establishment]",ChIJl1LkDp5LHRURCGeEBzUievA,03-379-6666,http://netofun.co.il/,https://maps.google.com/?cid=17328200127416133384
Luxury Travel Israel | Israel Seminar,32.0660839,34.7771503,"Rothschild Blvd 75, Tel Aviv-Yafo, 6521401, Israel",4,"[travel_agency, point_of_interest, establishment]",ChIJS2kYSnxLHRURCThwyyQKPOo,03-770-8282,https://israelseminar.com/,https://maps.google.com/?cid=16878376656626006025
Xtrip - Akstrif,32.0641035,34.7622162,"Kaufmann St 6, Tel Aviv-Yafo, Israel",5,"[travel_agency, point_of_interest, establishment]",ChIJR22mj5BMHRURemX663VhNRs,03-510-2025,http://www.xtrip.co.il/,https://maps.google.com/?cid=1960580371887842682
Yuval De Joannes -Private tour guide,32.084065,34.770322,"Arnon St, Tel Aviv-Yafo, Israel",5,"[travel_agency, point_of_interest, establishment]",ChIJqzCF23lMHRURo1XWURxkXJs,050-915-2210,http://www.tourguideisrael.co.il/,https://maps.google.com/?cid=11194932846531073443
Экскурсии по Израилю,32.0824224,34.7740918,"Dizengoff St 140, Tel Aviv-Yafo, 6346115, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJQSQD9odLHRUR81fnUWduTrw,03-524-5235,,https://maps.google.com/?cid=13568904117348685811
Go further,32.076694,34.768202,"Ben Yehuda St 29, Tel Aviv-Yafo, Israel",1,"[travel_agency, point_of_interest, establishment]",ChIJQ7od3H1MHRURzpcD9C75FzU,03-795-2144,http://www.myholiday.co.il/,https://maps.google.com/?cid=3825800388532213710
Israel Spectrum Tours,32.0625914,34.7763019,"Levontin St 19, Tel Aviv-Yafo, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJTzPh0mJLHRUROht-S34nBKs,03-776-4644,https://www.israelspectrumtours.com/,https://maps.google.com/?cid=12323017903778437946
slovensky sprievodca,32.056892,34.7707827,"Herzl St 86, Tel Aviv-Yafo, Israel",4,"[travel_agency, point_of_interest, establishment]",ChIJ-UiA_Z5MHRURRAkjajROYy0,,http://sprievodcaizrael.wordpress.com/,https://maps.google.com/?cid=3270543741427059012
סעבבה תיירות ונופש,32.0503593,34.7588678,"Jerusalem Blvd 42, Tel Aviv-Yafo, Israel",1,"[travel_agency, point_of_interest, establishment]",ChIJTQ7-NbpMHRURF-UCON_8Blo,074-787-8787,http://www.sa-baba.co.il/,https://maps.google.com/?cid=6487150348921398551
Visa4You,32.058473,34.794586,"Lohamei Galipoli St, Tel Aviv-Yafo, Israel",5,"[travel_agency, point_of_interest, establishment]",ChIJc7dbXIBLHRUR3-tp7raDRks,055-722-9204,http://www.visa4you.co.il/,https://maps.google.com/?cid=5424167622921546719
Polaris Mundi,32.0714694,34.7819726,"Shlomo Ibn Gabirol St 2, Tel Aviv-Yafo, Israel",4,"[travel_agency, point_of_interest, establishment]",ChIJx1hFe4JLHRURAL4bbuyFq6Y,073-236-4614,http://www.polaris-mundi.co.il/,https://maps.google.com/?cid=12009840081819647488
Surf-Deal,32.056888,34.842811,"David Ben Gurion St 4, כפר-אזר, Israel",5,"[travel_agency, store, point_of_interest, establishment]",ChIJhaxFK2dKHRURVva6I2RnHss,050-944-9888,http://www.surf-deal.co.il/,https://maps.google.com/?cid=14636249518794536534
TAL Aviation Israel,32.0767131,34.7680004,"Ben Yehuda St 29, Tel Aviv-Yafo, Israel",4.5,"[travel_agency, point_of_interest, establishment]",ChIJQ7od3H1MHRURz8mgkPjkC5Y,03-795-2111,http://www.talaviation.com/Israel,https://maps.google.com/?cid=10811987086662486479
"טיול קולינרי זה טייסטורס טיולים קולינריים ! כל אחד יכול לאכול כמו מקומי בחו""ל ! Tastours culinary travels",32.066764,34.809532,"קניון גבעתיים, דרך יצחק רבין 53, גבעתיים, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJY-BLk6hLHRURFSB8sP-9_q8,03-517-7711,http://www.tastours.com/,https://maps.google.com/?cid=12681782506597130261
Yael Israel Tours - Guida Turistica in Israele,32.076127,34.771178,"Bograshov St 44, Tel Aviv-Yafo, 6315408, Israel",5,"[travel_agency, point_of_interest, establishment]",ChIJ8Rvq15VNHRURA_qPcG-7J9g,052-620-1361,http://www.yaelisraeltours.com/,https://maps.google.com/?cid=15575623923588397571
